Кабель,От позиция,Каб. ввод,До позиции,Каб. ввод,"Марка кабеля, количество жил, сечение","Длина,",Тип,"Длина,",Тип сигнала
C-11zpe9-1,11зпэ9,"М20х1,5",7-ШС11.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-11zpe9-2,11зпэ9,"М20х1,5",7-ШС11.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10 15,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",DI
C-LS13L28,LS-13L28,"М20х1,5",7-ШС13.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",DI
C-13kshe10-1,13кшэ10,"М20х1,5",7-ШС13.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 4",DO
C-13kshe10-2,13кшэ10,"М20х1,5",7-ШС13.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",15,"РЗ-ЦХ-20
 Ц-20х2,8","2
 4",DI
-,QE-14Q1,"М20х1,5",QT-14Q1,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QT14Q1-1,QT-14Q1,"М20х1,5",7-ШС14.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",20,РЗ-ЦХ-15,2,AI
C-QT14Q1-2,QT-14Q1,"М20х1,5",7-ШС14.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",20,РЗ-ЦХ-15,2,24VDC
C-14zpe11-1,14зпэ11,"М20х1,5",7-ШС14.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",55,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",DO
C-14zpe11-2,14зпэ11,"М20х1,5",7-ШС14.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",55,"РЗ-ЦХ-20
 Ц-20х2,8","2
 5",DI
C-22zpe5-1,22зпэ5,"М20х1,5",7-ШС22.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",20 15,РЗ-ЦХ-15,2,DO
C-22zpe5-2,22зпэ5,"М20х1,5",7-ШС22.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",20 15,РЗ-ЦХ-20,2,DI
C-22zpe8-1,22зпэ8,"М20х1,5",7-ШС22.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",20 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-22zpe8-2,22зпэ8,"М20х1,5",7-ШС22.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",20 15,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",DI
C-22zpe9-1,22зпэ9,"М20х1,5",7-ШС22.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",20 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-22zpe9-2,22зпэ9,"М20х1,5",7-ШС22.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",20 15,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",DI
C-FT22F8-1,FT-22F8,"М20х1,5",7-ШС22.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",20 15,РЗ-ЦХ-15,2,AI
C-FT22F8-2,FT-22F8,"М20х1,5",7-ШС22.1,-,"Кабель контрольный, КГВВнг(А)-LS 4x1,5",20 15,РЗ-ЦХ-15,2,24VDC
-,QE-22Q1,"М20х1,5",QT-22Q1,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QT22Q1-1,QT-22Q1,"М20х1,5",7-ШС22.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-QT22Q1-2,QT-22Q1,"М20х1,5",7-ШС22.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",24VDC
-,QE-22Q2,"М20х1,5",QT-22Q2,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QT22Q2-1,QT-22Q2,"М20х1,5",7-ШС22.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
