Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
,HSO3kshe2/1 (L),3JB005,XT1,6,Да,Да,7-ШС3.1,XT1,33,Да,Да,
,3kshe2/1-PE,3JB005,XT1,PE,Да,Да,7-ШС3.1,XT1,36,Да,Да,
C-3JB005-3,HS3zpe3/1,3JB005,XT1,7,Да,Да,7-ШС3.1,XT1,43,Да,Да,
,HSC3zpe3/1,3JB005,XT1,8,Да,Да,7-ШС3.1,XT1,42,Да,Да,
,HSO3zpe3/1,3JB005,XT1,9,Да,Да,7-ШС3.1,XT1,41,Да,Да,
,3zpe3/1-PE,3JB005,XT1,PE,Да,Да,7-ШС3.1,XT1,44,Да,Да,
C-3JB005-4,HS3zpe4/1 (N),3JB005,XT1,10,Да,Да,7-ШС3.1,XT1,51,Да,Да,
,HSC3zpe4/1 (L),3JB005,XT1,11,Да,Да,7-ШС3.1,XT1,50,Да,Да,
,HSO3zpe4/1 (L),3JB005,XT1,12,Да,Да,7-ШС3.1,XT1,49,Да,Да,
,3zpe4/1-PE,3JB005,XT1,PE,Да,Да,7-ШС3.1,XT1,52,Да,Да,
C-3JB005-5,HS3kshe5/1 (N),3JB005,XT1,13,Да,Да,7-ШС3.1,XT1,59,Да,Да,
,HSC3kshe5/1 (L),3JB005,XT1,14,Да,Да,7-ШС3.1,XT1,58,Да,Да,
,HSO3kshe5/1 (L),3JB005,XT1,15,Да,Да,7-ШС3.1,XT1,57,Да,Да,
,3kshe5/1-PE,3JB005,XT1,PE,Да,Да,7-ШС3.1,XT1,60,Да,Да,
C-3JB005-6,HS3kshe6 (N),3JB005,XT1,16,Да,Да,7-ШС3.1,XT1,267,Да,Да,
,HSC3kshe6 (L),3JB005,XT1,17,Да,Да,7-ШС3.1,XT1,266,Да,Да,
,HSO3kshe6 (L),3JB005,XT1,18,Да,Да,7-ШС3.1,XT1,265,Да,Да,
,3kshe6-PE,3JB005,XT1,PE,Да,Да,7-ШС3.1,XT1,268,Да,Да,
C-3JB005-7,FT-3F7 (24В),3JB005,XT2,1,Да,Да,7-ШС3.1,XT3,25,Да,Да,
,FT-3F7 (0В),3JB005,XT2,2,Да,Да,7-ШС3.1,XT3,26,Да,Да,
C-3JB005-8,FT-3F7 (+),3JB005,XT2,3,Да,Да,7-ШС3.1,XT3,27,Да,Да,
