AI(PAZ),AI,DI,DI (PAZ),VALVE,,PUMP,Нет сигнала,,,Исправить,,Диагностика. Нет сигналов
Objects.AI.PZT_4P15_double,Objects.AI.FT_15F1,Objects.DI.PS_8P11_pressure_diff,,Objects.VALVE.V_3zpe14,Objects.VALVE.V_23kpv205,Objects.PUMP.N11_2_pump,PZS_7P5_1/2,,ШУ-Ф1,"LE-2L11(a,b,c)",DI,
Objects.AI.PZT_4P16_double,Objects.AI.QT_15Q2_electrical_conductivity,Objects.DI.PS_8P12_pressure_diff,,Objects.VALVE.V_3zpe17,Objects.VALVE.V_23kshv200,Objects.PUMP.NM3_1_pump,7-ШС8.1,,ШУ-Ф1,LS-2L13,DI,
Objects.AI.QZT_4Q3_double,Objects.AI.FT_15F2,Objects.DI.PDS_8P32_pressure_diff,,Objects.VALVE.V_3zpe10,Objects.VALVE.V_23kshv100,Objects.PUMP.N11_1_pump,8кшэ100,Objects.VALVE.V_8kshe100,ШУ-Ф1,LS-2L14,DI,
Objects.AI.PZT_6P20_double,Objects.AI.FT_15F3,Objects.DI.PDS_8P33_pressure_diff,,Objects.VALVE.V_3kshe1_1,Objects.VALVE.V_23kshv101,Objects.PUMP.EM3_1_motor,8кшэ103,Objects.VALVE.V_8kshe103,ШУ-Ф1,LS-2L15,DI,
Objects.AI.PZT_6P21_double,Objects.AI.LT_15L4,Objects.DI.LS_8L30_high_lvl,,Objects.VALVE.V_3kshe2_1,ШС24.1,Objects.PUMP.N12_1_pump,8кшэ102,Objects.VALVE.V_8kshe102,ШУ-Ф2,2зпэ23,DI/DO,
Objects.AI.QZT_6Q21_double,Objects.AI.PT_15P13,Objects.DI.LS_8L31_low_lvl,,Objects.VALVE.V_3kshe3_1,Objects.VALVE.V_24kshe1,Objects.PUMP.N12_2_pump,8кшэ105,Objects.VALVE.V_8kshe105,ШУ-Ф2,2зпэ37,DI/DO,
Objects.AI.QZT_6Q20_double,Objects.AI.PT_15P17,Objects.DI.bat_7SHS9_1_low,,Objects.VALVE.V_3zpe4_1,Objects.VALVE.V_24kshe3,Objects.PUMP.N13_1_pump,8кшэ106,Objects.VALVE.V_8kshe106,ШУ-Ф2,2эк2,Питание,
Objects.AI.LZT_6L20_double,Objects.AI.PT_15P14,Objects.DI.bat_7SHS9_1_status,,Objects.VALVE.V_3kshe5_1,Objects.VALVE.V_24kshe4,Objects.PUMP.NM4_1_pump,8кшэ108,Objects.VALVE.V_8kshe108,ШУ-Ф2,TE-2T10,,
Objects.AI.PZT_22P20_double,Objects.AI.PT_15P18,Objects.DI.bat_7SHS10_1_low,,Objects.VALVE.V_3kshe1_2,Objects.VALVE.V_24kshe5,Objects.PUMP.EM4_1_motor,8M1,,ШУ-Ф2,LS-2L8,DI,
Objects.AI.LZT_24L19_double,Objects.AI.TT_15T1,Objects.DI.bat_7SHS10_1_status,,Objects.VALVE.V_3kshe2_2,Objects.VALVE.V_24kshe10,Objects.PUMP.ND17_1_pump,7-ШС9.1,,ШУ-Ф2,PS-2P30,DI,
Objects.AI.LZT_21L20_double,Objects.AI.PT_15P9,Objects.DI.bat_7SHS11_1_low,,Objects.VALVE.V_3kshe3_2,Objects.VALVE.V_24zpe1,Objects.PUMP.ND18_1_pump,9кшэ21,Objects.VALVE.V_9kshe21,ШУ-Ф2,LT-2L4,AI,
Objects.AI.LZS_8L25_double,Objects.AI.LT_15L1,Objects.DI.bat_7SHS11_1_status,,Objects.VALVE.V_3zpe4_2,Objects.VALVE.V_24zpe2,Objects.PUMP.ND19_1_pump,9кшэ2,Objects.VALVE.V_9kshe2,ШУ-Ф2,FT-2F2,AI,
Objects.AI.LZS_8L27_double,Objects.AI.PT_15P8,Objects.DI.TE_13T11,,Objects.VALVE.V_3kshe5_2,Objects.VALVE.V_24zpe3,Objects.PUMP.NEFD1_pump,,,ШУ-Ф2,QT-2Q3,AI,
Objects.AI.QZT_7Q3_double,Objects.AI.TT_15T2,Objects.DI.LS_13L1,,Objects.VALVE.V_3kshe1_3,Objects.VALVE.V_24zpe4,Objects.PUMP.N20_1_pump,7-ШС10.1,,ШУ-Ф2,2зпэ30,DI/DO,
Objects.AI.PZT_7P12_double,Objects.AI.FT_4F1,Objects.DI.LS_13L2,,Objects.VALVE.V_3kshe2_3,Objects.VALVE.V_24zpe5,Objects.PUMP.N20_2_pump,10кшэ100,Objects.VALVE.V_10kshe100,ШУ-Ф2,2зпэ31,DI/DO,
Objects.AI.PZT_7P13_double,Objects.AI.FT_4F2,Objects.DI.LS_13L28,,Objects.VALVE.V_3kshe3_3,Objects.VALVE.V_24zpe6,Objects.PUMP.V1_1_motor,10кшэ101,Objects.VALVE.V_10kshe101,ШУ-Ф2,2зпэ32,DI/DO,
Objects.AI.LZT_7L10_double,Objects.AI.FT_4F3,Objects.DI.PS_13P8,,Objects.VALVE.V_3zpe4_3,Objects.VALVE.V_24zpe7,Objects.PUMP.V1_2_motor,УФС1,,ШУ-Ф2,2зпэ33,DI/DO,
Objects.AI.LZT_7L6_double,Objects.AI.PT_4P3,Objects.DI.PS_13P9,,Objects.VALVE.V_3kshe5_3,Objects.VALVE.V_24zpe8,Objects.PUMP.C1_1_motor,7-ШС12.1,,ШУ-Ф2,2зпэ34,DI/DO,
Objects.AI.TZT_8T20_double,Objects.AI.PT_4P7,Objects.DI.bat_7SHS13_1_low,,Objects.VALVE.V_3kshe1_4,Objects.VALVE.V_24zpe9,Objects.PUMP.C1_2_motor,12kshv2,Objects.VALVE.V_12kshv2,ШУ-Ф2,2зпэ35,DI/DO,
