,,,,,
,,,,,
2: Category 2,TZT_5T11_2_QUALITY,3x-54,3,КАНАЛ TZT_5T11_2 - Перегрузка,255:0:0
1: Category 1,TZT_5T11_2_QUALITY,3x-54,7,КАНАЛ TZT_5T11_2 - Подмена,255:215:0
0: Category 0,TZT_5T11_2_QUALITY,3x-54,9,КАНАЛ TZT_5T11_2 - ОК,
0: Category 0,PZT_5P13_1_SIGN,3x-60,0,PZT_5P13_1 Неопределено,
2: Category 2,PZT_5P13_1_SIGN,3x-60,1,PZT_5P13_1 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P13_1_SIGN,3x-60,2,PZT_5P13_1 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P13_1_SIGN,3x-60,3,PZT_5P13_1 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P13_1_SIGN,3x-60,4,PZT_5P13_1 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P13_1_SIGN,3x-60,5,PZT_5P13_1 В диапазоне уставок,
0: Category 0,PZT_5P13_1_QUALITY,3x-59,0,КАНАЛ PZT_5P13_1 - Неопред.,
2: Category 2,PZT_5P13_1_QUALITY,3x-59,1,КАНАЛ PZT_5P13_1 - Ошибка,255:0:0
2: Category 2,PZT_5P13_1_QUALITY,3x-59,2,КАНАЛ PZT_5P13_1 - Обрыв,255:0:0
2: Category 2,PZT_5P13_1_QUALITY,3x-59,3,КАНАЛ PZT_5P13_1 - Перегрузка,255:0:0
1: Category 1,PZT_5P13_1_QUALITY,3x-59,7,КАНАЛ PZT_5P13_1 - Подмена,255:215:0
0: Category 0,PZT_5P13_1_QUALITY,3x-59,9,КАНАЛ PZT_5P13_1 - ОК,
0: Category 0,PZT_5P13_2_SIGN,3x-65,0,PZT_5P13_2 Неопределено,
2: Category 2,PZT_5P13_2_SIGN,3x-65,1,PZT_5P13_2 Верхн. авар. порог,255:0:0
2: Category 2,PZT_5P13_2_SIGN,3x-65,2,PZT_5P13_2 Нижн. авар. порог,255:0:0
1: Category 1,PZT_5P13_2_SIGN,3x-65,3,PZT_5P13_2 Верхн. предупр. порог,255:215:0
1: Category 1,PZT_5P13_2_SIGN,3x-65,4,PZT_5P13_2 Нижн. предупр. порог,255:215:0
0: Category 0,PZT_5P13_2_SIGN,3x-65,5,PZT_5P13_2 В диапазоне уставок,
0: Category 0,PZT_5P13_2_QUALITY,3x-64,0,КАНАЛ PZT_5P13_2 - Неопред.,
2: Category 2,PZT_5P13_2_QUALITY,3x-64,1,КАНАЛ PZT_5P13_2 - Ошибка,255:0:0
2: Category 2,PZT_5P13_2_QUALITY,3x-64,2,КАНАЛ PZT_5P13_2 - Обрыв,255:0:0
2: Category 2,PZT_5P13_2_QUALITY,3x-64,3,КАНАЛ PZT_5P13_2 - Перегрузка,255:0:0
1: Category 1,PZT_5P13_2_QUALITY,3x-64,7,КАНАЛ PZT_5P13_2 - Подмена,255:215:0
0: Category 0,PZT_5P13_2_QUALITY,3x-64,9,КАНАЛ PZT_5P13_2 - ОК,
0: Category 0,LZT_5L12_1_SIGN,3x-70,0,LZT_5L12_1 Неопределено,
2: Category 2,LZT_5L12_1_SIGN,3x-70,1,LZT_5L12_1 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L12_1_SIGN,3x-70,2,LZT_5L12_1 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L12_1_SIGN,3x-70,3,LZT_5L12_1 Верхн. предупр. порог,255:215:0
